Player,2021-22
Stephen Curry\curryst01,"$45,780,966"
John Wall\walljo01,"$44,310,840"
Russell Westbrook\westbru01,"$44,211,146"
James Harden\hardeja01,"$43,848,000"
LeBron James\jamesle01,"$41,180,544"
Kevin Durant\duranke01,"$40,918,900"
Giannis Antetokounmpo\antetgi01,"$39,344,970"
Paul George\georgpa01,"$39,344,970"
Damian Lillard\lillada01,"$39,344,900"
Kawhi Leonard\leonaka01,"$39,344,900"
Klay Thompson\thompkl01,"$37,980,720"
Jimmy Butler\butleji01,"$36,016,200"
Tobias Harris\harrito02,"$36,000,000"
Khris Middleton\middlkh01,"$35,500,000"
Anthony Davis\davisan02,"$35,361,360"
Rudy Gobert\goberru01,"$35,344,828"
Kyrie Irving\irvinky01,"$34,916,200"
Bradley Beal\bealbr01,"$34,502,130"
Kristaps Porziņģis\porzikr01,"$31,650,600"
Devin Booker\bookede01,"$31,610,000"
Karl-Anthony Towns\townska01,"$31,610,000"
Jamal Murray\murraja01,"$31,590,000"
Ben Simmons\simmobe01,"$31,590,000"
Joel Embiid\embiijo01,"$31,579,390"
Andrew Wiggins\wiggian01,"$31,579,390"
Pascal Siakam\siakapa01,"$31,320,000"
Kevin Love\loveke01,"$31,300,000"
CJ McCollum\mccolcj01,"$30,864,198"
Chris Paul\paulch01,"$30,800,000"
Nikola Jokić\jokicni01,"$30,510,423"
Jrue Holiday\holidjr01,"$30,133,333"
D'Angelo Russell\russeda01,"$30,013,500"
Gordon Hayward\haywago01,"$29,900,000"
Blake Griffin\griffbl01,"$32,405,817"
Brandon Ingram\ingrabr01,"$29,467,800"
De'Aaron Fox\foxde01,"$28,103,550"
Bam Adebayo\adebaba01,"$28,103,550"
Donovan Mitchell\mitchdo01,"$28,103,550"
Jayson Tatum\tatumja01,"$28,103,550"
Al Horford\horfoal01,"$27,000,000"
Kyle Lowry\lowryky01,"$26,984,128"
Kemba Walker\walkeke02,"$34,967,442"
DeMar DeRozan\derozde01,"$26,000,000"
Jaylen Brown\brownja02,"$24,830,357"
Draymond Green\greendr01,"$24,026,712"
Nikola Vučević\vucevni01,"$24,000,000"
John Collins\collijo01,"$23,000,000"
Buddy Hield\hieldbu01,"$22,477,273"
Malcolm Brogdon\brogdma01,"$21,700,000"
Tim Hardaway Jr.\hardati02,"$21,306,816"
Mike Conley\conlemi01,"$21,000,000"
Gary Harris\harriga01,"$20,482,143"
Danilo Gallinari\gallida01,"$20,475,000"
Harrison Barnes\barneha02,"$20,284,091"
Jarrett Allen\allenja01,"$20,000,000"
Jerami Grant\grantje01,"$20,000,000"
Julius Randle\randlju01,"$19,800,000"
Fred VanVleet\vanvlfr01,"$19,675,926"
Zach LaVine\lavinza01,"$19,500,000"
Goran Dragić\dragigo01,"$20,168,742"
Bojan Bogdanović\bogdabo02,"$18,700,000"
Lonzo Ball\balllo01,"$18,604,651"
Domantas Sabonis\sabondo01,"$18,562,500"
Eric Gordon\gordoer01,"$18,218,818"
Evan Fournier\fournev01,"$18,139,535"
Eric Bledsoe\bledser01,"$18,125,000"
Myles Turner\turnemy01,"$18,000,000"
Bogdan Bogdanović\bogdabo01,"$18,000,000"
Terry Rozier\roziete01,"$17,905,263"
Ricky Rubio\rubiori01,"$17,809,524"
Caris LeVert\leverca01,"$17,500,000"
Jonathan Isaac\isaacjo01,"$17,400,000"
Joe Harris\harrijo01,"$17,357,143"
Spencer Dinwiddie\dinwisp01,"$17,142,857"
Clint Capela\capelca01,"$17,103,448"
Steven Adams\adamsst01,"$17,073,171"
Markelle Fultz\fultzma01,"$16,500,000"
Aaron Gordon\gordoaa01,"$16,409,091"
OG Anunoby\anunoog01,"$16,071,429"
Dāvis Bertāns\bertada01,"$16,000,000"
Gary Trent Jr.\trentga02,"$16,000,000"
Lauri Markkanen\markkla01,"$15,690,909"
Marcus Morris\morrima03,"$15,627,907"
Duncan Robinson\robindu01,"$15,560,000"
Norman Powell\powelno01,"$15,517,242"
Dejounte Murray\murrade01,"$15,428,571"
Will Barton\bartowi01,"$15,384,615"
Derrick White\whitede01,"$15,178,571"
Taurean Prince\princta02,"$15,057,692"
Malik Beasley\beaslma01,"$14,391,964"
Marcus Smart\smartma01,"$14,339,285"
Patrick Beverley\beverpa01,"$14,320,988"
Thaddeus Young\youngth01,"$14,190,000"
Jonas Valančiūnas\valanjo01,"$14,000,000"
Joe Ingles\inglejo01,"$14,000,000"
Doug McDermott\mcderdo01,"$13,750,000"
Christian Wood\woodch01,"$13,666,667"
